09-03 13:17:00.348  1179  1179 I GoogleInputMethodService: GoogleInputMethodService.onStartInput():1956 onStartInput(EditorInfo{inputType=0x0(NULL) imeOptions=0x0 privateImeOptions=null actionName=UNSPECIFIED actionLabel=null actionId=0 initialSelStart=-1 initialSelEnd=-1 initialCapsMode=0x0 hintText=null label=null packageName=com.example.lunchtray fieldId=-1 fieldName=null extras=null}, false)
09-03 13:17:00.348  1179  1179 I GoogleInputMethodService: GoogleInputMethodService.shouldHideHeaderOnInitialState():4081 ShouldHideHeaderOnInitialState = false
09-03 13:17:00.348  1179  1179 I GoogleInputMethodService: GoogleInputMethodService.updateDeviceLockedStatus():2165 repeatCheckTimes = 2, unlocked = true
09-03 13:17:00.358  6490  6490 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231208/com.example.lunchtray:id/start_order_btn>
09-03 13:17:00.403   519  2810 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:00.532   519  2810 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:00.659  6490  6490 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131230844/com.example.lunchtray:id/cauliflower>
09-03 13:17:00.732   519  2810 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:00.865   519   827 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:00.988  6490  6490 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231081/com.example.lunchtray:id/next_button>
09-03 13:17:01.046   519  2810 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:01.175   519   827 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:01.315  6490  6490 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231138/com.example.lunchtray:id/salad>
09-03 13:17:01.376   519  2810 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:01.507   519  2810 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:01.623  6490  6490 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231081/com.example.lunchtray:id/next_button>
09-03 13:17:01.683   519  2810 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:01.817   519   827 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:01.946  6490  6490 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131230835/com.example.lunchtray:id/bread>
09-03 13:17:02.016   519   827 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:02.148   519   827 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:02.256  6490  6490 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231081/com.example.lunchtray:id/next_button>
09-03 13:17:02.308   519  2810 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:02.436   519   827 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:02.555  6490  6490 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231216/com.example.lunchtray:id/submit_button>
09-03 13:17:02.613   519   827 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:02.746   519   827 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
09-03 13:17:02.895  6490  6490 I ViewInteraction: Checking 'MatchesViewAssertion{viewMatcher=(view has effective visibility <VISIBLE> and view.getGlobalVisibleRect() to return non-empty rectangle)}' assertion on view an instance of android.widget.TextView and view.getText() with or without transformation to match: a string containing "Order Submitted!"
09-03 13:17:02.895  6490  6511 I TestRunner: finished: order_snackbar(com.example.lunchtray.OrderFunctionalityTests)
